"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",54663,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",14379,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",40093,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",1201,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",13388,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",96608,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",6132,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",5796,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",48008,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",10721,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",40470,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",33274,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",7913,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",14575,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",54323,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",12419,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",3142,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",67752,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",43153,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",5775,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",20443,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",53718,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",14113,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",39914,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",1132,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",13335,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",96156,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",5674,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",48016,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",10576,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",40493,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",7868,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",14413,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",53774,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",14226,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",6240,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",33054,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",54205,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",12361,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",3076,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",67634,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",43025,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",5792,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",20035,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",54051,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",14499,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",39449,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",1216,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",13646,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",95693,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",6155,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",5726,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",47568,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",10874,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",40409,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",33080,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",7916,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",14273,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",54762,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",12600,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",3077,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",68154,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",43236,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",5865,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",20533,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",39408,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",1154,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",13267,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",94989,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",5941,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",5662,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",46906,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",10567,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",40357,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",32794,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",7907,,
