Territorio;Età;Value;
Valle d'Aosta / Vallée d'Aoste;97;60;
Liguria;97;1071;
Lombardia;97;4441;
Sardegna;97;762;
Provincia Autonoma Bolzano / Bozen;97;223;
Provincia Autonoma Trento;97;351;
Veneto;97;2462;
Friuli-Venezia Giulia;97;827;
Emilia-Romagna;97;2758;
Toscana;97;2381;
Umbria;97;548;
Marche;97;974;
Lazio;97;2664;
Abruzzo;97;734;
Molise;97;212;
Basilicata;97;313;
Campania;97;1748;
Puglia;97;1716;
Calabria;97;882;
Sicilia;97;1862;
Piemonte;98;1558;
Valle d'Aosta / Vallée d'Aoste;98;40;
Liguria;98;821;
Lombardia;98;2998;
Provincia Autonoma Bolzano / Bozen;98;181;
Provincia Autonoma Trento;98;233;
Veneto;98;1660;
Friuli-Venezia Giulia;98;573;
Emilia-Romagna;98;1892;
Toscana;98;1606;
Umbria;98;363;
Marche;98;645;
Lazio;98;1823;
Abruzzo;98;534;
Molise;98;159;
Campania;98;1179;
Puglia;98;1165;
Basilicata;98;210;
Calabria;98;577;
Sicilia;98;1289;
Sardegna;98;561;
Sicilia;99;825;
Sardegna;99;352;
Piemonte;99;1027;
Valle d'Aosta / Vallée d'Aoste;99;25;
Liguria;99;503;
Lombardia;99;2072;
Provincia Autonoma Bolzano / Bozen;99;107;
Provincia Autonoma Trento;99;147;
Veneto;99;1100;
Friuli-Venezia Giulia;99;462;
Emilia-Romagna;99;1313;
Umbria;99;255;
Marche;99;440;
Lazio;99;1311;
Abruzzo;99;382;
Toscana;99;1103;
Molise;99;107;
Campania;99;811;
Puglia;99;704;
Basilicata;99;156;
Calabria;99;400;
Provincia Autonoma Bolzano / Bozen;100;122;
Provincia Autonoma Trento;100;164;
Veneto;100;1328;
Emilia-Romagna;100;1603;
Piemonte;100;1204;
Valle d'Aosta / Vallée d'Aoste;100;34;
Liguria;100;733;
Lombardia;100;2536;
Friuli-Venezia Giulia;100;515;
Toscana;100;1290;
Umbria;100;325;
Marche;100;543;
Lazio;100;1606;
Abruzzo;100;487;
Molise;100;133;
Campania;100;1072;
Puglia;100;1002;
Basilicata;100;165;
Calabria;100;559;
Sicilia;100;1167;
Sardegna;100;568;
