Territorio;Età;Value;
Sicilia;13;47751;
Emilia-Romagna;13;41855;
Veneto;13;46931;
Abruzzo;13;11513;
Piemonte;13;38941;
Puglia;13;37923;
Molise;13;2479;
Provincia Autonoma Trento;13;5459;
Umbria;13;8112;
Lazio;13;55348;
Friuli-Venezia Giulia;13;10725;
Campania;13;60762;
Sicilia;14;48712;
Sardegna;14;13403;
Liguria;14;12696;
Piemonte;14;38373;
Valle d'Aosta / Vallée d'Aoste;14;1238;
Lombardia;14;98124;
Provincia Autonoma Bolzano / Bozen;14;5702;
Provincia Autonoma Trento;14;5531;
Veneto;14;47014;
Friuli-Venezia Giulia;14;10708;
Emilia-Romagna;14;41516;
Toscana;14;33397;
Umbria;14;7992;
Marche;14;13646;
Lazio;14;54937;
Abruzzo;14;11387;
Molise;14;2461;
Campania;14;61068;
Puglia;14;38189;
Basilicata;14;4957;
Calabria;14;18291;
Piemonte;15;38154;
Valle d'Aosta / Vallée d'Aoste;15;1151;
Liguria;15;12628;
Lombardia;15;95895;
Provincia Autonoma Bolzano / Bozen;15;5831;
Provincia Autonoma Trento;15;5597;
Veneto;15;46659;
Friuli-Venezia Giulia;15;10517;
Emilia-Romagna;15;40819;
Toscana;15;33271;
Umbria;15;7967;
Marche;15;13677;
Lazio;15;53209;
Campania;15;61691;
Puglia;15;38899;
Sardegna;15;13480;
Abruzzo;15;11521;
Molise;15;2548;
Basilicata;15;4925;
Calabria;15;18086;
Sicilia;15;49668;
Liguria;16;12717;
Abruzzo;16;11623;
Molise;16;2556;
Campania;16;63780;
Puglia;16;40247;
Basilicata;16;5266;
Calabria;16;18649;
Sicilia;16;50598;
Piemonte;16;38189;
Valle d'Aosta / Vallée d'Aoste;16;1180;
Lombardia;16;96239;
Provincia Autonoma Bolzano / Bozen;16;5814;
Provincia Autonoma Trento;16;5736;
Veneto;16;47389;
Friuli-Venezia Giulia;16;10584;
Emilia-Romagna;16;40543;
Toscana;16;33218;
Umbria;16;7763;
Marche;16;13708;
Lazio;16;53594;
Sardegna;16;13277;
Piemonte;17;38348;
Valle d'Aosta / Vallée d'Aoste;17;1191;
Liguria;17;12536;
Lombardia;17;94414;
Provincia Autonoma Bolzano / Bozen;17;5787;
Provincia Autonoma Trento;17;5524;
Veneto;17;46467;
Friuli-Venezia Giulia;17;10556;
Emilia-Romagna;17;39629;
Toscana;17;32464;
Umbria;17;7691;
Marche;17;13576;
Lazio;17;53107;
Puglia;17;40659;
Sardegna;17;13760;
Abruzzo;17;11530;
Molise;17;2638;
Campania;17;64549;
Basilicata;17;5321;
Calabria;17;18745;
Sicilia;17;50685;
Veneto;18;46077;
Friuli-Venezia Giulia;18;10444;
Emilia-Romagna;18;40048;
Toscana;18;32786;
Umbria;18;7721;
Marche;18;13723;
Lazio;18;52325;
Abruzzo;18;11441;
Molise;18;2696;
Campania;18;64201;
Puglia;18;40848;
Basilicata;18;5497;
Calabria;18;18621;
Sicilia;18;51079;
Sardegna;18;13536;
Piemonte;18;37892;
Valle d'Aosta / Vallée d'Aoste;18;1124;
Liguria;18;12891;
Lombardia;18;93382;
Provincia Autonoma Bolzano / Bozen;18;5639;
Provincia Autonoma Trento;18;5567;
Piemonte;19;38166;
Valle d'Aosta / Vallée d'Aoste;19;1191;
Liguria;19;13024;
Lombardia;19;95095;
Provincia Autonoma Bolzano / Bozen;19;5926;
Provincia Autonoma Trento;19;5630;
Veneto;19;46127;
Friuli-Venezia Giulia;19;10674;
Emilia-Romagna;19;40215;
Toscana;19;32804;
Umbria;19;7683;
Marche;19;13721;
Lazio;19;52839;
Abruzzo;19;11813;
Molise;19;2743;
Campania;19;65782;
Puglia;19;42049;
Basilicata;19;5548;
Calabria;19;19394;
Sicilia;19;52351;
Sardegna;19;13888;
Piemonte;20;39882;
Liguria;20;13324;
Lombardia;20;97236;
Provincia Autonoma Trento;20;5780;
